Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-01-03,123.33064270019531,85.81999969482422,88.5095443725586,234.423583984375,108.0999984741211
2023-01-04,124.60270690917969,85.13999938964844,87.4766616821289,224.16915893554688,113.63999938964844
2023-01-05,123.28133392333984,83.12000274658203,85.60955047607422,217.5252685546875,110.33999633789062
2023-01-06,127.8173828125,86.08000183105469,86.74172973632812,220.08888244628906,113.05999755859375
2023-01-09,128.33999633789062,87.36000061035156,87.41706848144531,222.2317657470703,119.7699966430664
2023-01-10,128.91195678710938,89.87000274658203,87.8143310546875,223.92453002929688,118.8499984741211
2023-01-11,131.63356018066406,95.08999633789062,90.89310455322266,230.69557189941406,123.22000122070312
2023-01-12,131.5546875,95.2699966430664,90.50576782226562,233.37657165527344,123.55999755859375
2023-01-13,132.88589477539062,98.12000274658203,91.48899841308594,234.0811004638672,122.4000015258789
2023-01-17,134.04946899414062,96.05000305175781,90.66468048095703,235.17698669433594,131.49000549316406
2023-01-18,133.32962036132812,95.45999908447266,90.495849609375,230.73472595214844,128.77999877929688
2023-01-19,133.3887939453125,93.68000030517578,92.4126205444336,226.93824768066406,127.16999816894531
2023-01-20,135.95263671875,97.25,97.34856414794922,235.0498046875,133.4199981689453
2023-01-23,139.14756774902344,97.5199966430664,99.10646057128906,237.3590087890625,143.75
2023-01-24,140.5478515625,96.31999969482422,97.03076934814453,236.83062744140625,143.88999938964844
2023-01-25,139.88714599609375,97.18000030517578,94.56776428222656,235.43141174316406,144.42999267578125
2023-01-26,141.9579620361328,99.22000122070312,96.85199737548828,242.662353515625,160.27000427246094
2023-01-27,143.90054321289062,102.23999786376953,98.6893310546875,242.8189239501953,177.89999389648438
2023-01-30,141.0113067626953,100.55000305175781,96.27598571777344,237.4862060546875,166.66000366210938
2023-01-31,142.28335571289062,103.12999725341797,98.16294860839844,242.47645568847656,173.22000122070312
2023-02-01,143.407470703125,105.1500015258789,99.7420654296875,247.31011962890625,181.41000366210938
2023-02-02,148.7225341796875,112.91000366210938,107.00199127197266,258.90509033203125,188.27000427246094
2023-02-03,152.35134887695312,103.38999938964844,104.06227111816406,252.78964233398438,189.97999572753906
2023-02-06,149.61988830566406,102.18000030517578,102.19515228271484,251.2436065673828,194.75999450683594
2023-02-07,152.499267578125,102.11000061035156,106.90267944335938,261.8013610839844,196.80999755859375
